ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
Khumbu Alpine Camp,Solukhumbu,Private,2034,
SHERPA TREKERS LODGE,Solukhumbu,Private,2034,
Parbat  Hot  and   Lodge,Solukhumbu,Private,2034,
YETI HOT AND LODGE,Solukhumbu,Private,2035,
HOSTELERIA DES SHREPA,Solukhumbu,Private,2036,
KHARI KHOLA TREKARS,Solukhumbu,Private,2036,
Himali Treakers Home,Solukhumbu,Private,2036,
HOTEL LUKLA,Solukhumbu,Private,2037,
YETI HOTEL TATHA AAWAS GRIHA,Solukhumbu,Private,2039,
Solukhambu Canning Company,Solukhumbu,Private,2039,
Lukla Power Product and Distributor Service,Solukhumbu,Private,2045,
SALLERI CHIALSA BIDYUT COMPANY,Solukhumbu,Public,2047,
Likala Gauri Sankar Hotel,Solukhumbu,Private,2047,
EVEREST TREK TEX PVT.LTD,Solukhumbu,Private,2049,
MOUNT EVEREST BEKARY PVT. LTD.,Solukhumbu,Private,2051,
SHERPA BAGWANI FARM,Solukhumbu,Private,2051,
NAMCHE MONEY EXCHANGER,Solukhumbu,Private,2052,
KHUMBU WATER BOTTELING,Solukhumbu,Private,2052,
VALLEY COTTAGE PVT.LTD.,Solukhumbu,Private,2052,
HOTEL MERA,Solukhumbu,Private,2052,
GHUMNE PANI KRISHI FORM PVT.LTD.,Solukhumbu,Private,2053,
PYRAMID VALLEY,Solukhumbu,Private,2053,
EVEREST RESORT PVT.LTD.,Solukhumbu,Private,2053,
KANCHHA MUKHIYA KRISHI FARM PVT.LTD.,Solukhumbu,Private,2054,
HOMICHO CONSTRUCTION TRANSPORT & SUPPLY PVT.,Solukhumbu,Private,2054,
NAMCHE FOOD & BEVERAGE PVT.LTD.,Solukhumbu,Private,2055,
EVEREST MUSEUM CO. PVT.LTD.,Solukhumbu,Private,2055,
HIMALAYAN HERBS & TAXUS CULTURE COMPANY,Solukhumbu,Private,2055,
WANGCHHU LAGHU JAL BIDDHUT PARIYOJANA,Solukhumbu,Private,2056,
KHANGRI RESORT PVT.(MERGE INTO MOUNTAIN HOME),Solukhumbu,Private,2056,
M.T. PAPER UDDHYOG,Solukhumbu,Private,2057,
U.N. EVEREST PAPER UDHYOG,Solukhumbu,Private,2058,
P.K.JADIBUTI UDHYOG,Solukhumbu,Private,2059,
EVEREST WOOD SUPPLY,Solukhumbu,Private,2059,
NAMCHE TECHNICAL SUPPORT,Solukhumbu,Private,2059,
KHUMBU CABLE NETWORK,Solukhumbu,Private,2059,
HIMALAYAN EXOTIC HERBS NEPAL,Solukhumbu,Private,2059,
WHITE HILLS ENGLISH BOARDING SCHOOL,Solukhumbu,Private,2059,
FARAKPA VILLAGE,Solukhumbu,Private,2059,
HOTEL PRINCE OF EVEREST,Solukhumbu,Private,2060,
GOKYO RESORT,Solukhumbu,Private,2060,
KONGDE VIEW RESORT,Solukhumbu,Private,2060,
HIMALAYAN MEDICAL TRADING CONCERN,Solukhumbu,Private,2060,
KHANG CHHYU,Solukhumbu,Private,2060,
KONGDE HOTEL,Solukhumbu,Private,2061,
YETI KHANGBA HOTEL,Solukhumbu,Private,2061,
NORLING MINERAL WATER,Solukhumbu,Private,2062,
HOTEL (NAAK) PVT. LTD.,Solukhumbu,Private,2063,
ANGKANCHHI (SHREE) NIRMAN SEWA,Solukhumbu,Private,2063,
