ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
Jay Shree Rice Flower And Oil Mill,Sunsari,Private,2023,
AMBUJA ELECTRO CASTING NEPAL LTD,Sunsari,Private,2027,
Vijaya   Workshop,Sunsari,Private,2029,
SUNSARI ITTA TILE FACTORY,Sunsari,Private,2030,
Gorkhali Interprises,Sunsari,Private,2030,
KOSHI BRUSH MANUFACTURING,Sunsari,Private,2032,
KOSHI CINEMA,Sunsari,Private,2034,
G.D.And Suns,Sunsari,Private,2034,
NEPAL FRUIT INDUSTRIES,Sunsari,Private,2034,
GANESH TAKIJ,Sunsari,Private,2035,
JAGADAMBA PUSPA LAL RICE MILLS,Sunsari,Private,2035,
palpeshwari nirman sewa,Sunsari,Private,2035,
Shree Shiva Cinema,Sunsari,Private,2036,
Agradut Bas Sewa,Sunsari,Private,2037,
Vikesh Udhyog,Sunsari,Private,2037,
SURYA AND SONS,Sunsari,Private,2038,
Dantakali Iaternational,Sunsari,Private,2038,
Bishnu  Plastic,Sunsari,Private,2039,
Ginesh Ghue Bhandar,Sunsari,Private,2039,
PASHUPATI FOAM PRODUCRTS,Sunsari,Private,2039,
ANUP CONSTRUCTION,Sunsari,Private,2040,
PASHUPATI PACKAGING INDUSTRIES,Sunsari,Private,2040,
PRABHAT TEXTILES MILLS,Sunsari,Private,2040,
PASHUPATI SOLVENT,Sunsari,Public,2040,
Nawa Durga Stone Cursors,Sunsari,Private,2040,
Nikunga Global Concern,Sunsari,Private,2041,
LION PEN COMPANY,Sunsari,Private,2041,
Pindeshwor  Metal Industries,Sunsari,Private,2041,
PASHUPATI METAL WORKS,Sunsari,Private,2041,
SIDDHA DEVI RODA DHUNGA UDYOG,Sunsari,Private,2041,
KRISHNA TAKIT,Sunsari,Private,2042,
JAYAPASHUPATI HOSIERY INDUSTRIES,Sunsari,Private,2042,
Nepal Ruuber Udyog,Sunsari,Private,2042,
Nepal Confectionary And Biscuit,Sunsari,Private,2042,
Nepal Confectionery & Biscuit Company,Sunsari,Private,2042,
KOSHI DAIRY,Sunsari,Private,2042,
Sagarmatha Rubber Industries,Sunsari,Private,2042,
Tahari Food Products,Sunsari,Private,2043,
DHARMA FILMS,Sunsari,Private,2043,
Nepal Shichha Sewa Company,Sunsari,Private,2043,
MILAN DAIRY UDYOG,Sunsari,Private,2043,
D.k.Textile,Sunsari,Private,2043,
Sunsari Chini Udyog,Sunsari,Public,2043,
SAUBHAGYA LAXMI RICE AND OIL MILLS,Sunsari,Private,2043,
Hotel Super,Sunsari,Private,2043,
Bagmati Udhyog,Sunsari,Private,2043,
Indrayani Chalchitra Mandir,Sunsari,Private,2044,
Bishnu Footware Industries,Sunsari,Private,2044,
Annapurna Soap & Chemical Industries,Sunsari,Private,2044,
Pashupati Chitra MAndir,Sunsari,Private,2044,
National Hotel,Sunsari,Private,2044,
Baraha Koshi Metal Industries,Sunsari,Private,2044,
AUDHYOGI KSHETRA BYABASTHAPAN LTD.,Sunsari,Public,2045,
Greenhill  Trading  Company,Sunsari,Public,2045,
Aananda Rabar Industries,Sunsari,Private,2046,
Shiva Ayat Niryat Company,Sunsari,Private,2046,
Yoga Hari Narayan Rice Mills,Sunsari,Private,2046,
National Dealing Company Of Nepal,Sunsari,Private,2046,
Surdya  Auto  Mobile,Sunsari,Private,2046,
HIMALI RATNA UDHYOG,Sunsari,Private,2047,
Siddhi Chitra Mandir,Sunsari,Private,2047,
Nepal dhalaut udhog,Sunsari,Public,2047,
Dharan Auto Engineering Workshop,Sunsari,Private,2047,
Nepal Brush Industries,Sunsari,Private,2048,
Nepal  Plasto  Moulds,Sunsari,Private,2048,
Krishana  Enterprises Traders,Sunsari,Private,2048,
Lali Gurans Shop Industries,Sunsari,Private,2048,
ANUPAMA TEXTILE MILL,Sunsari,Private,2048,
S.S.STEEL & IRON INDUSTRIES,Sunsari,Private,2049,
JAY NEPAL HOTEL,Sunsari,Private,2049,
Everest Plastic Industries,Sunsari,Private,2049,
DANTAKALI PLASTIC INDUSTREIS PVT.LTD,Sunsari,Private,2049,
ORIENTAL (THE) IRON AND STEEL IND PVT.LTD.,Sunsari,Private,2049,
SUN SHINE COLOR PVT.LTD,Sunsari,Private,2049,
DHARAN HOTEL PVT.LTD,Sunsari,Private,2050,
HIMSHIKHAR MOTOR SERVICE PVT LTD,Sunsari,Private,2050,
SAI YATAYAT,Sunsari,Private,2050,
Balaji Biscuit Industries,Sunsari,Private,2050,
DHARAN NURSHING HOME AND RESEARCH CENTRE,Sunsari,Private,2050,
NEW SANGAM  GUEST HOUSE,Sunsari,Private,2050,
NOVA OVERSEASE PVT. LTD.,Sunsari,Private,2051,
PANDAV TAKIES,Sunsari,Private,2051,
BARAL AWAS TATHA NIRMAN COMPANY PVT. LTD.,Sunsari,Private,2051,
L.R.S. TEXTILES PVT. LTD.,Sunsari,Private,2051,
EASTERN SUGAR MILLS,Sunsari,Public,2051,
PABITRA LAXMI NIRMAN SEWA,Sunsari,Private,2051,
KOSHI NAWA PRATIVA FILMS PRODUCTION PVT. LTD.,Sunsari,Private,2051,
PUBLIC NURSING HOME PVT. LTD.,Sunsari,Private,2051,
TRIBENI COLOUR LAB,Sunsari,Private,2051,
Arun Finance,Sunsari,Public,2051,
Express Finance company,Sunsari,Public,2051,
HOTEL BIJAYAPUR,Sunsari,Private,2052,
SHUBHAKAMANA ITTA UDYOG,Sunsari,Private,2052,
MALA FEED INDUSTRIES,Sunsari,Private,2052,
BRITISH GORKHA SAMUDAYIK BHAWAN,Sunsari,Private,2052,
HIMALAYA ALKO FEBRIC INDUSTRIES,Sunsari,Private,2052,
DANTAKALI JUTTA TATHA CHAPPAL UDYOG,Sunsari,Private,2052,
Baraha Taxi Service,Sunsari,Private,2052,
FOREST & ENVIRONMENT DEVELOPMENT COMPANY,Sunsari,Private,2052,
SUNSHARI SUGAR MILLS,Sunsari,Private,2052,
Etahari Tranport,Sunsari,Private,2052,
NEA CONSULT,Sunsari,Private,2052,
AQUA BIRDS UNLIMITED,Sunsari,Private,2053,
SHANKER KHADYA UDYOG,Sunsari,Private,2053,
ADITYA ENGINEERING INDUSTRIES PVT.LTD.,Sunsari,Private,2053,
BARAH FILMS,Sunsari,Private,2053,
PURBANCHAL DISTILLARY,Sunsari,Private,2053,
SUN RISE BOARDING SCHOOL PVT.LTD.,Sunsari,Private,2053,
KUMARI MEMORIAL ENGLISH GIRLS HIGH SCHOOL PVT,Sunsari,Private,2053,
SAPTAKOSHI PRAKASHAN PVT.LTD.,Sunsari,Private,2053,
HOTEL BHAWANA PVT.LTD.,Sunsari,Private,2053,
SHREE ITAHARI MODEL SCHOOL,Sunsari,Private,2053,
PARBATI MEMORIAL BOARDING SCHOOL,Sunsari,Private,2053,
SHREE INARUWA ENGLISH SECONDARY BOARDING SCHOOL,Sunsari,Private,2053,
JANAK SMRITI MA.VI.,Sunsari,Private,2053,
DHARAN CABLE TELEVISION NETWORK,Sunsari,Private,2053,
SURYA METAL INDUSTRIES,Sunsari,Private,2053,
Jayakali Biscuit And Confessionary,Sunsari,Private,2053,
JAYAKALI BISCUIT & CONFECTIONARY,Sunsari,Private,2053,
BRILIANT ANGREJI AWASIYA MA.VI.,Sunsari,Private,2053,
J.B. FOOD PRODUCTS,Sunsari,Private,2053,
NORTH POINT ENGLISH BOARDING SCHOOL,Sunsari,Private,2053,
QUALITY NEPAL VENEERS,Sunsari,Private,2053,
