ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
HOTEL RADHA,Surkhet,Private,2032,
SURKHET SAW MILL CHHIGU,Surkhet,Private,2036,
DEUTI CONSTRUCTION,Surkhet,Private,2037,
SIRJANA CHALCHITRA MANDIR,Surkhet,Private,2041,
GANGAMAYA RODA DHUNGA UDYOG,Surkhet,Private,2042,
Lumbini Rice Mill,Surkhet,Private,2049,
Shani Chalchitra,Surkhet,Private,2049,
SUNNY TRADING HOUSE PVT.LTD,Surkhet,Private,2049,
PAUDEL BHAINSI BREEDING FIRM,Surkhet,Private,2050,
SUBIRA RICE OIL MILL,Surkhet,Private,2052,
MULTI NATIONAL TOURS & TRAVELS PVT.LTD.,Surkhet,Private,2052,
LAXMI PLAZA PVT.LTD.,Surkhet,Private,2054,
ADHYARO UJYALO NIRMAN SEWA,Surkhet,Private,2054,
DEUBA CONSTRUCTION PVT.LTD.,Surkhet,Private,2054,
BHUSHAL CHAMAL TEL AANTA MILL PVT.LTD.,Surkhet,Private,2054,
HOTEL DEUTI PVT.LTD.,Surkhet,Private,2054,
NAVASATTA PRAKASHAN PVT.LTD.,Surkhet,Private,2055,
DEUTI TELEVISION NETWORK PVT.LTD.,Surkhet,Private,2055,
KAKRE BIHAR COLOR LAB,Surkhet,Private,2055,
THAPA CABLE NETWORK,Surkhet,Private,2056,
Nepal Engineering & Technical Science Academy,Surkhet,Private,2056,
RASTRIYA PRABIDHIK SIKCHHYALAYA,Surkhet,Private,2056,
MECHI MAHAKALI SWASTHYA TATHA BATABARAN KENDRA,Surkhet,Private,2057,
K.B. CONSTRUCTION COMPANY,Surkhet,Private,2058,
CHHINCHU CABLE NETWORK,Surkhet,Private,2058,
PADMA PRABIDHIK COLLEGE,Surkhet,Private,2058,
JAYA GANAPATI TOURS & TRAVELS,Surkhet,Private,2059,
SURKHET TECHNICAL & EDUCATIONAL MANPOWER DEVELOPMENT CENTER,Surkhet,Private,2059,
SURKHET HORIZON ACADEMY,Surkhet,Private,2059,
SIDDHARTHA NATIONAL CO-OPERATIVE ACADEMY,Surkhet,Private,2059,
TRIMURTI METAL & FURNITURE UDHYOG,Surkhet,Private,2059,
SURKHET ST. MARIES CO-ED,Surkhet,Private,2059,
EAGERBRIDGE & COMPANY PVT. LTD.,Surkhet,Private,2059,
ELITE SECONDARY BOARDING SCHOOL SURKHET,Surkhet,Private,2059,
Bulbule  Bheri Academy,Surkhet,Private,2059,
ADARSHA RAJ MEMORIAL ENGLISH SCHOOL,Surkhet,Private,2059,
CHHINCHU ENGLISH MEDIUM SCHOOL SURKHET,Surkhet,Private,2059,
MOUNT EVEREST ENGLISH MEDIUM SCHOOL SURKHET,Surkhet,Private,2059,
YAGYA PEACE HOMES SURKHET,Surkhet,Private,2059,
United English Medium School Surkhet,Surkhet,Private,2059,
EMMANUEL BOARDING SCHOOL SURKHET,Surkhet,Private,2059,
"SUNRISE BOARDING SCHOOL, SURKHET",Surkhet,Private,2059,
CHILDRENS PARADISE SCHOOL SURKHET,Surkhet,Private,2059,
SHANTIDEEP VIDHYALAYA SURKHET,Surkhet,Private,2059,
JANAPRIYA SCHOOL,Surkhet,Private,2059,
ARANIKO & COMPANY,Surkhet,Private,2059,
MODERN PUBLIC SCHOOL SURKHET,Surkhet,Private,2059,
VALLEY NETWORK,Surkhet,Private,2059,
DEUTI VIDHYA NIKETAN BIRENDRANAGAR,Surkhet,Private,2059,
CHETANA VIDHYA NIKETAN (SURKHET),Surkhet,Private,2059,
SUN SHINE ACADEMY SURKHET,Surkhet,Private,2059,
RUKMANI ENTERPRISES,Surkhet,Private,2059,
DIGIT NETWORK,Surkhet,Private,2059,
BRIGHT LAND SCONDARY SCHOOL SURKHET,Surkhet,Private,2060,
BULBULE PHOTO LAB,Surkhet,Private,2060,
OXFORD (NEW) PUBLIC SCHOOL,Surkhet,Private,2060,
ROS COMPUTER,Surkhet,Private,2060,
NATIONAL STUDIES AND RESEARCH CENTRE,Surkhet,Private,2060,
INTERNATIONAL COOPERATIVE ACADEMY SURKHET,Surkhet,Private,2060,
BHERI PRAKASHAN,Surkhet,Private,2060,
SUPREME ACADEMY SURKHET,Surkhet,Private,2060,
KANKRE BIHAR SHIKSHA SADAN,Surkhet,Private,2060,
BHERI KARNALI PRAVIDHIK SHIKSHA TATHA VYAVASAY TALIM KENDRA,Surkhet,Private,2060,
Jyoti Vidhya Sadan Surkhet,Surkhet,Private,2060,
BULBULE VIDHYA MANDIR,Surkhet,Private,2060,
Deuti Aspatal,Surkhet,Private,2061,
DEUTI SNEHA GROUP,Surkhet,Private,2061,
SHREE GANGAMALA YATAYAT,Surkhet,Private,2061,
SOUTH ASIAN SCHOLARS ACADEMY SURKHET,Surkhet,Private,2061,
SURKHET MOON LIGHT ACADEMY,Surkhet,Private,2061,
DEAUTI  HEALTH CARE AND  TRAINING CENTER,Surkhet,Private,2061,
NEPAL GEMS INDUSTRIES,Surkhet,Private,2061,
PUBLIC ACADEMY,Surkhet,Private,2061,
NEPALGUNJ TOURS AND TRAVELS,Surkhet,Private,2061,
JWALA CABLE NETWORK,Surkhet,Private,2062,
GREEN STAR ACADEMY,Surkhet,Private,2062,
HEAURISTIC SCHOOL & RESEARCH CENTRE,Surkhet,Private,2062,
CHANDRA SHREE JADIBUTI & STONE UDYOG,Surkhet,Private,2062,
SURKHET TRADING,Surkhet,Private,2062,
PASCHIM NEPAL RODA DHUNGA UDYOG,Surkhet,Private,2062,
DEUTI BIDYA MANDIR,Surkhet,Private,2062,
UTTAR GANGA ENGLISH MEDIUM KARNALI SCHOOL,Surkhet,Private,2062,
SHIVA BIHAR ACADEMY,Surkhet,Private,2062,
KANKRE BIHAR BOARDING SCHOOL,Surkhet,Private,2062,
BHERI TECHNICAL ACADEMY,Surkhet,Private,2062,
K.P. BYABASAYIK SEWA PVT. LTD.,Surkhet,Private,2063,
P.B.R. EDUCATION CONSULTANCY,Surkhet,Private,2063,
PARIKALPANA CABLE NETWORK,Surkhet,Private,2063,
PASHCHIMI GEMS INTERNATIONAL TRADE,Surkhet,Private,2063,
LOK MUNCH MEDIA PVT. LTD.,Surkhet,Private,2063,
SHANTI PHARMACY,Surkhet,Private,2063,
VIDHYA  JYOTI SAHAKARI VIDHYALAYA,Surkhet,Private,2063,
NEW STAR EDUCATION ACADEMY,Surkhet,Private,2063,
UNITY TRADING HOUSE,Surkhet,Private,2063,
APRATIM EDUCATIONAL ACADEMY,Surkhet,Private,2063,
REDWOOD ACADEMY,Surkhet,Private,2063,
FAITH ENGLISH SCHOOL,Surkhet,Private,2063,
SURKHET NURSING CAMPUS & NURSING HOME,Surkhet,Private,2063,
KARNALI YATAYAT,Surkhet,Private,2063,
HARVESTMOON BOARDING SCHOOL,Surkhet,Private,2063,
SURKHET PRABIDHIK SANSTHA,Surkhet,Private,2063,
GOLDEN ENGLISH ACADEMY GUTU,Surkhet,Private,2063,
PRISM ACADEMY,Surkhet,Private,2063,
NAMO BUDDHA SUPPLIERS AND CONSTRUCTION,Surkhet,Private,2063,
SHANTI BAL BOARDING SCHOOL SURKHET,Surkhet,Private,2063,
DEUTI ENGLISH MEDIUM BOARDING SCHOOL,Surkhet,Private,2063,
BHAGAWATI GYAN KUNJA BOARDING SCHOOL,Surkhet,Private,2063,
PANCHAKOSHI DENTAL HOSPITAL,Surkhet,Private,2063,
SUPREME EDUCATIONAL ACADEMY BIRENDRA NAGAR,Surkhet,Private,2063,
PUBLIC SOLAR,Surkhet,Private,2064,
SAUBHAGYA TRAVEL & TOURS,Surkhet,Private,2064,
KOPILA VALLEY SCHOOL,Surkhet,Private,2064,
RARA BIKASH BANK,Surkhet,Public,2064,
MOUNT EVEREST ENGINEERING SHIKSHYALAYA,Surkhet,Private,2064,
AAKAS BHAIRAV ENGLISH SCHOOL,Surkhet,Private,2064,
DEUTI GORKHA SECURITY AND TECHNICAL TRAINING CENTRE,Surkhet,Private,2064,
BALKRISHNA SAMUDAYIK BOARDING SCHOOL,Surkhet,Private,2064,
BAL DIP UNITED PUBLIC SCHOOL,Surkhet,Private,2064,
MODERN SARASWATI PUBLIC ENGLISH BOARDING SCHOOL,Surkhet,Private,2064,
MALARANI BAL VIDHYA MANDIR,Surkhet,Private,2064,
Nicholas English School,Surkhet,Private,2064,
Jarbuta Nawajyoti English Boarding School,Surkhet,Private,2064,
Kakre Bihar Dajubhai Security Service,Surkhet,Private,2064,
Dynamic English Medium Boarding School,Surkhet,Private,2064,
Sumnim Sunlight Public Academy,Surkhet,Private,2064,
Purna Nirman Sewa,Surkhet,Private,2064,
Super K.P.  Nirman Sewa,Surkhet,Private,2064,
Simrik Gyan kunja,Surkhet,Private,2064,
Bheksem Jadibuti Prashodhan Anusandhan Tatha Suppliars Company,Surkhet,Private,2064,
Gangamala Deuti Bazai Films,Surkhet,Private,2064,
Babiyachaur English Boarding School,Surkhet,Private,2064,
Advance Education Academy Surkhet,Surkhet,Private,2064,
PARAGON ADARSH PUBLIC ACADEMY,Surkhet,Private,2064,
