ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
PRITHVI RICE OIL & FLOUR MILLS,Syangja,Private,2009,
MAHENDRA SUGAR & GENERAL INDUSTRIES,Syangja,Private,2017,
POKHARA,Syangja,Private,2023,
SHERCHAN TIN CONTAINERS,Syangja,Private,2023,
PANCH RATNA BHUTPURBA SAINIK,Syangja,Private,2026,
PALPA TRANSPORT,Syangja,Private,2026,
LUMBINI ICE FACTORY,Syangja,Private,2028,
BUTWAL DAIRY PRODUCTION,Syangja,Private,2029,
NEPAL CHHALA UDYOG,Syangja,Private,2029,
LUMBINI ITTA TILE UDYOG,Syangja,Private,2029,
BUTAWAL PLYWOOD,Syangja,Private,2029,
GORAKHA BISCUIT FACTORY,Syangja,Private,2030,
BUTAWAL STONE INDUSTRIES,Syangja,Private,2033,
OCCUPATIONAL TOOLS FACTORY,Syangja,Private,2037,
PANCHAKANYA IRON INDUSTRIES,Syangja,Private,2038,
NEPAL COFFE COMPANY,Syangja,Private,2040,
LUMBINI BUILDERS,Syangja,Private,2041,
HOTEL SINDOOR,Syangja,Private,2043,
KALI BARAHA KHANDSARI SUGAR UDYOG,Syangja,Private,2043,
JIT ENGINEERING AND FACTORY,Syangja,Private,2044,
Subash Chalchitra Mandir,Syangja,Private,2045,
YUKTA TEXTILE MILLS,Syangja,Private,2048,
SRI SHAKTI COLD RETRADERS,Syangja,Private,2048,
ARUN FOODS,Syangja,Private,2048,
PURSHOTTAM TUBE INDS,Syangja,Private,2049,
MAHAKALI THE ROLLING INDS,Syangja,Private,2049,
TRIDEV IRON PVT.LTD,Syangja,Private,2049,
PALPA ADUWA PRASODHAN CO.PVT.LTD,Syangja,Private,2049,
GANAPATI ROLLING MILLS,Syangja,Private,2049,
TRISHAKTI STEEL INDS  PVT.LTD,Syangja,Private,2049,
MODI RUBBER PVT.LTD,Syangja,Private,2049,
SUBHA LAXMI KHADYA UDHYOG,Syangja,Private,2050,
PUJA CONFECTIONERY,Syangja,Private,2050,
SIDDHARTHA GASS UDHYOG PVT LTD,Syangja,Private,2050,
NARAYANI POLYSTER DHAGO UDHYOG,Syangja,Private,2050,
LUMBINI AIRWASE PVT.LTD,Syangja,Private,2050,
KOHINOOR NIRMAN SEWA PVT.LTD.,Syangja,Private,2053,
KAMANA ENGINEERING CONSULTANCY PVT.LTD.,Syangja,Private,2054,
Walling Cable TV Network,Syangja,Private,2055,
SYANGJA CABLE T.V. NETWORK PVT.LTD.,Syangja,Private,2055,
CHANDI KALIKA GOBAR GAS COMPANY,Syangja,Private,2056,
SYANGJA BYABASAYIK TALIM SIKCHHYALAYA,Syangja,Private,2056,
GALYANG SPACE CABLE NETWORK,Syangja,Private,2056,
SABHANA COMMUNICATION & COURIER SERVICE,Syangja,Private,2056,
AANDHIKHOLA COLOUR LAB,Syangja,Private,2057,
MOON STAR TOURS & TRAVEL,Syangja,Private,2057,
AANDHIKHOLA CABLE T.V. NETWORK,Syangja,Private,2057,
SHREE RAM CABLE NETWORK,Syangja,Private,2057,
LUMBINI BAMBOO PRODUCTS INTERNATIONAL,Syangja,Private,2057,
Jaya Nepal Ishwar Nirman Sewa,Syangja,Private,2058,
GAJINDRA NIRMAN SEWA,Syangja,Private,2058,
NEPAL PETROLUBE SUPPLIERS,Syangja,Private,2058,
CYBER DE PENTA,Syangja,Private,2058,
WALING COLOUR LAB,Syangja,Private,2058,
JANA PRIYA COLOUR LAB,Syangja,Private,2058,
EVEREST COFFEE INDUSTRIES,Syangja,Private,2059,
PIONEERS HIGHER EDUCATION ACADEMY,Syangja,Private,2059,
BHU. PU. SAINIK ANGREJI AWASIYA UCHCHHA MA. VI.,Syangja,Private,2059,
SHREE GANDAKI SHIKSHAK TALIM TATHA SHAIKSHIK ANUSANDHAN KENDRA,Syangja,Private,2059,
NISSA NIRMAN SEWA,Syangja,Private,2059,
NEPAL AADARSHA SHIKSHALAYA,Syangja,Private,2059,
Kaligandaki Public School,Syangja,Public,2059,
SITALA DEVI ENGLISH BOARDING SCHOOL,Syangja,Private,2059,
SWABHIMAN ENGLISH BOARDING SCHOOL SYANGJA,Syangja,Private,2059,
GYANODAYA ANGREJI AWASIYA VIDHYALAYA,Syangja,Private,2059,
LITTLE STEP ENGLISH BOARDING SCHOOL,Syangja,Private,2059,
SHREE CHANDIKALIKA ANGREJI SCHOOL SYANGJA,Syangja,Private,2059,
BHU.PU. SAINIK AWASIYA MADHYAMIK VIDHYALAYA SYANGJA,Syangja,Private,2059,
NEW CHANDIKALIKA ENGLISH BOARDING SCHOOL SYANGJA,Syangja,Private,2059,
JYOTI ENGLISH BOARDING HIGH SCHOOL SYANGJA,Syangja,Private,2059,
GREEN HILL ENGLISH SCHOOL SYANGJA,Syangja,Private,2059,
LITTLE FLOWER ENGLISH BOARDING SCHOOL SYANGJA,Syangja,Private,2059,
"ROSHANI ENGLISH BOARDING SCHOOL, SYANGJA PVT.",Syangja,Private,2059,
BAL BIDHYA BIKAS ANGREJI AWASIYA MA.VI.SYANJA,Syangja,Private,2059,
