ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
Himalaya View Bandipur Tourist Hot,Tanahun,Private,2035,
Helambu Distilary,Tanahun,Private,2039,
Annapurna Ciment,Tanahun,Private,2041,
Gandaki Intrigrated Farming,Tanahun,Private,2045,
Manakamana Chalachitr Mandir,Tanahun,Private,2048,
Manakamana Chalchitra Mandir,Tanahun,Private,2048,
Mankamana Training Industries,Tanahun,Private,2049,
EDUCATIONAL CONCERN PVT . LTD,Tanahun,Private,2051,
UTER SILA CHALCHETRA MANDIR,Tanahun,Private,2051,
HOTEL CHHIMKISWORI PVT.LTD.,Tanahun,Private,2051,
MANAKAMANA TEL UDYOG PVT.LTD.,Tanahun,Private,2053,
GRAMIN GOBAR GAS TATHA URJA BIKAS PVT.LTD.,Tanahun,Private,2053,
PABIN CHALCHITRA MANDIR,Tanahun,Private,2053,
BHIM MEMORIAL ENGLISH BOARDING SCHOOL,Tanahun,Private,2053,
MAI MANAKAMANA CHALCHITRA MANDIR,Tanahun,Private,2053,
Jisico Nepal,Tanahun,Private,2054,
NATIONAL DISTILLARY,Tanahun,Private,2054,
MENAKA CHALCHITRA BHAWAN PVT.LTD.,Tanahun,Private,2054,
URJA PRABARDHAN TATHA GOBAR GAS,Tanahun,Private,2054,
DHOR BARAHI GOBAR GAS CO.PVT.LTD,Tanahun,Private,2054,
INDRENI COLOUR LAB PVT.LTD.,Tanahun,Private,2054,
BYAS NAGAR CABLE NETWORK,Tanahun,Private,2054,
LAXMI ELECTRONICS CENTRE,Tanahun,Private,2054,
ANJANA CABLE NETWORK,Tanahun,Private,2054,
SHRESTHA KRISHI AUJAR UDYOG PVT.LTD.,Tanahun,Private,2055,
RASU OFFSET PRINTERS PVT.LTD.,Tanahun,Private,2055,
Annapurna  Agro  Products,Tanahun,Public,2055,
ANIL BUILDERS & CONSTRUCTION COMPANY,Tanahun,Private,2055,
VIMAD CABLE NETWORK,Tanahun,Private,2056,
GANDAKI TECHNICAL TRAINING CENTRE,Tanahun,Private,2056,
JWARCHAN & ASSOCIATES,Tanahun,Private,2056,
PARASHAR COLLEGE,Tanahun,Private,2056,
PEACE HEAVEN RESORT & BOATING,Tanahun,Private,2057,
SHREERAM CHIMNEY BHATTA UDDHYOG,Tanahun,Private,2057,
BUDDHI LAXMI CHALCHITRA MANDIR,Tanahun,Private,2057,
AAMA NIRMAN COMPANY,Tanahun,Private,2057,
R.K. CONSTRUCTION,Tanahun,Private,2057,
COSMIC CABLE T.V. NETWORK,Tanahun,Private,2057,
Himalayan Hideway,Tanahun,Private,2057,
KHADGAMAI CABLE NETWORK,Tanahun,Private,2058,
DAYAMAND PETROLEUM & TRADING,Tanahun,Private,2058,
HOTEL KUSUM PLAZA,Tanahun,Private,2058,
GREEN NEPAL MARKETING CO,Tanahun,Private,2058,
K.C. HOUSING,Tanahun,Private,2058,
NIRJALA NETWORK,Tanahun,Private,2058,
SHULAV BAIKALPIK URJA,Tanahun,Private,2058,
GRAMIN TATHA BAIKALPIK URJA,Tanahun,Private,2058,
G.S. CABLE NETWORK,Tanahun,Private,2058,
TEENTARA CABLE NETWORK .,Tanahun,Private,2058,
AKALADEVI BRICK FACTORY,Tanahun,Private,2058,
INTERNATIONAL SCHOOL OF GENUINE & INTELLIGENT,Tanahun,Private,2059,
OM SUNSHINE AWASIYA MA. VI.,Tanahun,Private,2059,
ARANIKO ENGLISH BOARDING SCHOOL KHAIRENITAR,Tanahun,Private,2059,
SUKLA GANDAKI EDUCATIONAL FOUNDATION,Tanahun,Private,2059,
MOUNT ANNAPURNA BOARDING SCHOOL,Tanahun,Private,2059,
