ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
Ghang JhonJhong Resourt Hotel,Taplejung,Private,2047,
SHIVA MAHADEV ALAICHI UDYOG PVT LTD,Taplejung,Private,2050,
PATHIBHARA RESORT HOTEL PVT. LTD.,Taplejung,Private,2051,
EVEREST DISTILLARY PVT.LTD.,Taplejung,Private,2053,
HOTEL KANCHANJANGHA PVT.LTD.,Taplejung,Private,2053,
LAMA PAHADI KAGAJ,Taplejung,Private,2053,
GAUTAM BANDHU NIRMAN SEWA PVT.LTD.,Taplejung,Private,2054,
PATANGWA CONSTRUCTION,Taplejung,Private,2056,
Kanchanjangha Construction Company Taplejung,Taplejung,Private,2056,
PATHIBHARA CABLE NETWORK,Taplejung,Private,2056,
KANCHANJUNGHA CABLE NETWORK,Taplejung,Private,2056,
UDAYA JADIBUTI UDDHYOG,Taplejung,Private,2056,
SHREE PRASAD RAM KUMAR JADIBUTI UDDHYOG,Taplejung,Private,2057,
IDHINGO NIRMAN SEWA,Taplejung,Private,2057,
SUKETAR-DOVAN RESORT,Taplejung,Private,2058,
TAPLEJUNG COLOUR LAB,Taplejung,Private,2058,
NATURAL TREKKING,Taplejung,Private,2058,
MECHI ST.MARIES ENGLISH BOARDING SCHOOL,Taplejung,Private,2059,
TAPLEJUNG KANCHANJUNGHA BOARDING SCHOOL,Taplejung,Private,2059,
KANCHAN ACADEMY,Taplejung,Private,2059,
PATHIBHARA  ACADEMY,Taplejung,Private,2059,
LITTLE BUDDHA ENGLISH BOARDING SCHOOL,Taplejung,Private,2059,
OXFORD MODEL AANGREJI AABASIY VIDHYALAYA TAPLEJUNG,Taplejung,Private,2060,
KABELI COFFEE TATHA SANJEEWANI BAGAN,Taplejung,Private,2060,
SUN LIGHT ENGLISH BOARDING SCHOOL,Taplejung,Private,2060,
NAWAJYOTI  AADARSHA AAWASHIYA MADHYAMIK VIDHYALAYA TAPLEJUNG,Taplejung,Private,2061,
PAHADI KRISHI UDHYOG,Taplejung,Private,2061,
DEURALI KRISHI UDYOG,Taplejung,Private,2061,
TAPLEJUNG GOVAR GAS,Taplejung,Private,2061,
SAMDURA ENGLISH BOARDING SCHOOL,Taplejung,Private,2061,
SKY BANK,Taplejung,Private,2061,
ORCHID ENGLISH BOARDING SCHOOL TAPLEJUNG,Taplejung,Private,2061,
DIAMOND MEDIA & RESEARCH,Taplejung,Private,2062,
MAUSAM MONEY TRANSFER,Taplejung,Private,2062,
TAPLEJUNG GROUP OF NEPAL,Taplejung,Private,2062,
GURAGAIN GROUP NEPAL,Taplejung,Private,2062,
LOVE BIRDS TRAVELS AND TOURS,Taplejung,Private,2062,
SUN ROSE ENGLISH BOARDING SCHOOL,Taplejung,Private,2062,
PEOPLE'S ENGLISH BOARDING SCHOOL,Taplejung,Private,2062,
TAPLEJUNG I.C.T. COLLEGE,Taplejung,Private,2063,
KANCHANJUNGHA HIMALAYAN GROUP,Taplejung,Private,2063,
MODEL ENGLISH BOARDING SCHOOL HANGPANG,Taplejung,Private,2063,
FAIRY TALE MULTIPURPOSE INTERNATIONAL CO.,Taplejung,Private,2063,
PATHIBHARA ALAICHI FARM,Taplejung,Private,2064,
Hangdewa Pathivara Q Learning English School Pvt. Ltd.,Taplejung,Private,2064,
MECHI HORIZON BOARDING SCHOOL,Taplejung,Private,2064,
TAPLEJUNG BUDDHA ENGLISH BOARDING SCHOOL,Taplejung,Private,2064,
Pathibhara Bright Future Academy,Taplejung,Private,2064,
Fungling Consultancy,Taplejung,Private,2064,
Pathibhara Memorial Academy Nangkholyan,Taplejung,Private,2064,
Tamor English School,Taplejung,Private,2064,
Khokling Everest English Boarding School,Taplejung,Private,2065,
Phaktanglung Training Center,Taplejung,Private,2065,
Palungwa Sub Remittance & Suppliers,Taplejung,Private,2065,
Taplejung Hydro Power Company,Taplejung,Public,2065,
Delight Model Academy Taplejung,Taplejung,Private,2065,
Orak English School,Taplejung,Private,2065,
Shailab Sub Remittance & Suppliers,Taplejung,Private,2065,
Taplejung Siddhartha Academy,Taplejung,Private,2065,
TAPLJUNG ENERGY,Taplejung,Private,2066,
Youth Self Employment Training Centre,Taplejung,Private,2066,
Taplejung Investment,Taplejung,Private,2066,
Gyawaring Tshering Futic Awashiya Vidhyalaya,Taplejung,Private,2066,
Kaweli Construction,Taplejung,Private,2066,
Taplejung Pathibhara Memorial Aawasiya Vidhyalaya Dovan,Taplejung,Private,2066,
Taplejung Pathibhara Aspatal,Taplejung,Private,2066,
Aadarsha Boarding School Taplejung,Taplejung,Private,2066,
Shiva Narayan Tea Estate,Taplejung,Private,2067,
Kabeli English Boarding School,Taplejung,Private,2067,
Himalay English Boarding School Taplejung,Taplejung,Private,2067,
Hangpang English Boarding School,Taplejung,Private,2067,
Ideal English School Taplejung,Taplejung,Private,2068,
Bright Future English Boarding School Taplejung,Taplejung,Private,2068,
Purbeli Jadibuti Sankalan Kendra,Taplejung,Private,2068,
Marigold English Boarding School Taplejung,Taplejung,Private,2068,
Pragati Samuha,Taplejung,Non-Profit Distributing,2068,
Sirijanga Memorial English Boarding School,Taplejung,Private,2068,
Khewang English Boarding School,Taplejung,Private,2068,
Mukumlung Boarding School,Taplejung,Private,2068,
Prashad Shing English Baording School,Taplejung,Private,2069,
Taplejung Shopping Centre,Taplejung,Private,2069,
Nalbo Nirman Sewa,Taplejung,Private,2069,
Fungfunge Shaileshwari Nirman Sewa,Taplejung,Private,2069,
Sewalung Nirman Sewa,Taplejung,Private,2069,
Taplejung Manav Dental Hospital,Taplejung,Private,2069,
Mount Kanchanjungha Resort and Hotel,Taplejung,Private,2070,
Taplejung Ban Paidabar Tatha Jadibuti Sanjal,Taplejung,Private,2070,
Mukumlung Prabidhik sanjal,Taplejung,Private,2070,
Sakya Health Care clinic,Taplejung,Private,2070,
Green Dream,Taplejung,Private,2070,
Mewakha & K.G.S.,Taplejung,Private,2070,
Paramount Agro,Taplejung,Private,2070,
Tamor Hospital Pvt.Ltd.,Taplejung,Private,2070,
Pathibhara Cable Car,Taplejung,Private,2070,
Sireto Hill,Taplejung,Private,2070,
Lunngma Travels & Tours,Taplejung,Private,2070,
Mewa Khola Hill  Resort,Taplejung,Private,2071,
Kanchanjangha Alaichi Farm Pvt. Ltd.,Taplejung,Private,2071,
Himalayan New Life Academy,Taplejung,Private,2071,
Imanwel Organic Production And Development,Taplejung,Private,2071,
Surati Montessori School Taplegung,Taplejung,Private,2071,
Hotel Eco View Point,Taplejung,Private,2071,
Gurukul Nepal Academy Taplejung,Taplejung,Private,2071,
"Pathibhara Jadibuti, Krishi Utpadan, Sankalan Tatha  Prashodhan",Taplejung,Private,2071,
Hangpang Nirman Sewa,Taplejung,Private,2072,
Hotel Mountain View,Taplejung,Private,2072,
Batawaran Samrakshan Tatha Bikas Manch,Taplejung,Private,2072,
Lemon House Organic Firm,Taplejung,Private,2072,
Tamor Organic And Herbe Firm,Taplejung,Private,2072,
Shivalaya English Boarding School Taplejung,Taplejung,Private,2072,
Sidingawa Nirman Sewa and Suppliers,Taplejung,Private,2072,
Oum Rai Nirman Sewa,Taplejung,Private,2072,
Dokhu English Boarding School Taplejung,Taplejung,Private,2072,
