ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
JYOTI DYING AND PRINTING FACTORY,Terhathum,Private,2009,
GHARELU KASTHA KARYALAY,Terhathum,Private,2018,
KOSHI MOTOR YATAYAT,Terhathum,Private,2025,
VIJAYA AUTO WORK SHOP,Terhathum,Private,2025,
PURBANCHAL YATAYAT,Terhathum,Private,2028,
NEPAL SOAP AND GENERAL INDUSTRIES,Terhathum,Private,2028,
KOSHI STONE CRUSHING COMPANY,Terhathum,Private,2030,
SHREE MAHALAXMI MAIDA MILLS,Terhathum,Private,2031,
DHARAN DHUNGA AND RODA INDUSTRY,Terhathum,Private,2031,
PRAKASH TELL MILL,Terhathum,Private,2034,
NEPAL ENGINEERING ENTERPRISES,Terhathum,Private,2036,
MODERN INDUSTRIES OF LACTOCOLA,Terhathum,Private,2037,
NEPAL SHOE AND RUBBER INDUSTRIES,Terhathum,Private,2038,
EVEREST MATCH FACTORY,Terhathum,Private,2039,
PASHUPATI SOLVENT,Terhathum,Private,2040,
EVEREST SOLVENT,Terhathum,Private,2040,
KOSHI SUPER EXPRESS,Terhathum,Private,2042,
ANNAPURNA SOAP & CHEMICAL INDUSTRY,Terhathum,Private,2044,
HANSARAJ HULASCHANPA JUTE MILLS LTD,Terhathum,Private,2049,
PURBANCHAL PALYTHENE INDUSTRIES,Terhathum,Private,2049,
POPULAR PLASTIC,Terhathum,Private,2049,
KOMAL SYNTHETIC MILLS,Terhathum,Private,2049,
BALAJI IRON INDS PVT.LTD,Terhathum,Private,2049,
SHYAM BHAKTA YATAYAT LTD.,Terhathum,Private,2049,
ANNAPURNA CONTAINER,Terhathum,Private,2049,
CONTEPOWARE PVT.LTD,Terhathum,Private,2050,
DHARAN HOTEL PVT.LTD,Terhathum,Private,2050,
MAHALAXMI NUTRITION FOODS PVT.LTD,Terhathum,Private,2050,
BLUE HEAVEN GUEST HOUSE & RESTURENT PVT.LTD.,Terhathum,Private,2052,
FAKTANGLUNG TEA ESTATE PVT.LTD.,Terhathum,Private,2053,
TIN JURE CHIYA BIKAS TATHA PRASHODHAN PVT.LTD,Terhathum,Private,2053,
ARANIKO ADHYAN SANSTHAN,Terhathum,Private,2053,
MURAHANG AGRO IND. PVT.LTD.,Terhathum,Private,2055,
SINGH BAHINI VIDYUT PVT.LTD.,Terhathum,Private,2055,
CHHATHAR SUKRABARE TEA ESTATE,Terhathum,Private,2057,
SINGHADEVI CABLE T.V. NETWORK,Terhathum,Private,2057,
JIRIKHIMTI CABLE NETWORK,Terhathum,Private,2058,
HYATRUNG JHARANA TEA ESTATE,Terhathum,Private,2058,
BASANTA SADAN ANGREJI BOARDING SCHOOL,Terhathum,Private,2059,
MORAHANG PRATIBHA ENGLISH BOARDING SCHOOL,Terhathum,Private,2059,
IDEAL ACADEMY ENGLISH SCHOOL,Terhathum,Private,2059,
EVERGREEN GANGLION MULTIPURPOSE,Terhathum,Private,2059,
evergreen ganglion multipurpose,Terhathum,Private,2059,
KASTURI NEPAL,Terhathum,Private,2060,
ANNAPURNA BOARDING ENGLISH SCHOOL TERAHTHUM,Terhathum,Private,2060,
SUNRISE ENGLISH BOARDING SCHOOLTEHRATHUM,Terhathum,Private,2061,
SAPTAKOSHI ENTERPRISES,Terhathum,Private,2061,
JAYA CHIYA PRASODHAN TATHA BIKAS COMPANY,Terhathum,Private,2061,
GANGA JAMUNA ALAICHI UDHYOG,Terhathum,Private,2062,
PRAGATI CHIYA UDHYOG,Terhathum,Private,2062,
BARUN ENTERPRISES,Terhathum,Private,2062,
BASANTAPUR CABLE NETWORK,Terhathum,Private,2062,
BLUE HEAVEN HOTEL & TRAINING CENTRE,Terhathum,Private,2062,
DHAKAL AND KARKI ENTERPRISES,Terhathum,Private,2062,
MYANGLUNG HYDROPOWER,Terhathum,Private,2062,
RIMAL ENTERPRISES,Terhathum,Private,2062,
D.D.K. ENTERPRISES,Terhathum,Private,2062,
MOUNT MAKALU ENTERPRISES,Terhathum,Private,2063,
MOUNT MAKALU HERBAL WORKS,Terhathum,Private,2063,
TERHATHUM ENTERPRISES,Terhathum,Private,2063,
HAMRO ENTERPRISES,Terhathum,Private,2063,
ANNAPURNA ADHYAYAN PRATISTHAN,Terhathum,Private,2063,
SHREE SINGHA BAHANI ENGINEERING WORKS & ENERGY,Terhathum,Private,2063,
TINJURE MONEY TRANSFER,Terhathum,Private,2064,
UDHYAMI PAHUNCH ENTERPRISES,Terhathum,Private,2064,
Aatharai English Boarding School,Terhathum,Private,2065,
Lali Gurans Dynamic School,Terhathum,Private,2065,
Mount Makalu Academic Foundation,Terhathum,Private,2065,
Chuhandanda Aspatal,Terhathum,Private,2066,
Shree Ratna Devi Enterprises,Terhathum,Private,2066,
Kanchanjungha Boarding School Terhathum,Terhathum,Private,2066,
Mount Makalu Development Bank,Terhathum,Public,2066,
Seto Gurans Investment,Terhathum,Private,2066,
Annapurna Plywood Udhyog,Terhathum,Private,2066,
Gaukhuri Cable Prasaran Company,Terhathum,Private,2067,
Syangtane Tea Estate,Terhathum,Private,2067,
Prakhyat Pathivara Trade & Suppliers,Terhathum,Private,2067,
Light Academy Terhathum,Terhathum,Private,2067,
Terhathum Academy,Terhathum,Private,2068,
Janta Multi Sub Remit,Terhathum,Private,2068,
Shankar Brothers Addhyayan,Terhathum,Private,2068,
Joontara English Boarding School,Terhathum,Private,2068,
New Ideal Boarding School Terhathum,Terhathum,Private,2068,
New Sunshine English Boarding School Terhathum,Terhathum,Private,2068,
Shree Mickchung English Boarding School,Terhathum,Private,2068,
TAPAINKO JANHIT POLYCLINIC,Terhathum,Private,2068,
Janakalyan Boarding School,Terhathum,Private,2069,
Innovative Computer And Language Training Center,Terhathum,Private,2069,
Athrai Investment,Terhathum,Private,2069,
Deep English Boarding School,Terhathum,Private,2069,
Navayug Krishi Bikas Company,Terhathum,Private,2069,
Atharai Polyclinic,Terhathum,Private,2070,
Jaleshwori English Boarding School Terhthum,Terhathum,Private,2070,
Tri-ratna Niketan terhathum,Terhathum,Private,2070,
