ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE,
TRISHAKTI CONSTROCTION,Udayapur,Private,2044,
RAUTA & RASUWA TRANSPORTATION PVT.LTD.,Udayapur,Private,2052,
HIMCHULI PRATHAMIK VIDYALAYA PVT.LTD.,Udayapur,Private,2053,
TRIYUGA GOBAR GAS CO.PVT.LTD.,Udayapur,Private,2054,
TRIYUGA SPACETIME PVT.LTD.,Udayapur,Private,2055,
SHOBINA NETWORK,Udayapur,Private,2055,
HUBBAS CHIYA KAMAN,Udayapur,Private,2056,
MODERN INSTITUTE OF HEALTH SCIENCE PVT. LTD.,Udayapur,Private,2056,
SABINA HALL,Udayapur,Private,2056,
DARPAN CABLE NETWORK,Udayapur,Private,2057,
KAMALA MAI CONSTRUCTION,Udayapur,Private,2057,
JAYA BHAWANI TRANSPORT,Udayapur,Private,2058,
PANCHAMI (SHREE) CABLE T.V. NETWORK,Udayapur,Private,2058,
SAPSU COFFEE BAGAN,Udayapur,Private,2058,
SELME TEMKE JADIBUTI SAMRAKCHHEN TATHA UTPADAN,Udayapur,Private,2058,
SIDDHIBINAYAK NETWORK,Udayapur,Private,2058,
TRIYUGA PRAKASHN,Udayapur,Private,2058,
TRIYUGA BAHU-UDDHESIYA KRISHI KENDRA,Udayapur,Private,2058,
MORNING GLORY ENGLISH BOARDING SCHOOL PVT.LTD,Udayapur,Private,2059,
BAL VIDHYA MANDIR ENGLISH BOARDING SCHOOL,Udayapur,Private,2059,
UDAYAPUR ENGLISH SCHOOL,Udayapur,Private,2059,
PUSHPANJALI SISHU BATIKA BOARDING SCHOOL UDAYAPUR,Udayapur,Private,2059,
EVERGREEN ENGLISH BOARDING SCHOOL UDAYAPUR,Udayapur,Private,2059,
NAMUNA SCHOOL UDAYAPUR,Udayapur,Private,2059,
SAGARMATHA MODEL SCHOOL UDAYAPUR,Udayapur,Private,2059,
TRIYUGA LITTLE FLOWERS ENGLISH SCHOOL UDAYA*,Udayapur,Private,2059,
SAGARMATHA ENGLISH BOARDING SCHOOL UDAYAPUR,Udayapur,Private,2059,
NEW MODEL ENGLISH SCHOOL UDAYAPUR,Udayapur,Private,2059,
MOTI MEMORIAL ENGLISH SCHOOL UDAYAPUR,Udayapur,Private,2059,
"KANCHANJANGA ENGLISH SCHOOL, UDAYAPUR",Udayapur,Private,2059,
CANVAS ACADAMY UDAYAPUR,Udayapur,Private,2059,
Laligurans English Boarding School Udayapur,Udayapur,Private,2059,
MERRY BROOD ENGLISH SCHOOL,Udayapur,Private,2059,
udayapur chuna udhyog,Udayapur,Private,2060,
UDAYAPUR CHUNA UDHYOG,Udayapur,Private,2060,
BELAKA ADARSHA SHISHU SADAN UDAYAPUR,Udayapur,Private,2060,
belaka aadarsha shishu sadan udayapur,Udayapur,Private,2060,
"Peace-Zone International Academy Gaighat, Udayapur",Udayapur,Private,2060,
TRIYUGA CABLE NETWORK,Udayapur,Private,2060,
SOLU NIRMAN SAWA,Udayapur,Private,2060,
HOTEL GANGACHULI,Udayapur,Private,2060,
BRILLIANT ACADEMY(UDAYAPUR),Udayapur,Private,2060,
PRABHAT ENGLISH BOARDING SCHOOL,Udayapur,Private,2061,
"Paradise Secondary School, Udayapur",Udayapur,Private,2061,
SARASWATI ENGLISH BOARDING SCHOOL UDAYAPUR,Udayapur,Private,2061,
PABITRA MEMORIAL ENGLISH BOARDING SCHOOL UDAYAPUR,Udayapur,Private,2061,
PANCHAWATI ENGLISH BOARDING SCHOOL,Udayapur,Private,2061,
THE HIMALAYAN DALE ACADEMY UDAYAPUR,Udayapur,Private,2061,
LOTSE CEMENT,Udayapur,Private,2061,
NARAYANI MEMORIAL ENGLISH SCHOOL,Udayapur,Private,2061,
BRIGHT FUTURE ACADEMY SCHOOL UDAYAPUR,Udayapur,Private,2061,
SUNKOSHI SAMUDAYIK SWASTHYA SEWA,Udayapur,Private,2061,
RAUTA ACADEMY UDAYAPUR,Udayapur,Private,2061,
DIP JYOTI ENGLISH SCHOOL UDAYAPUR,Udayapur,Private,2062,
HAMRO URJA COMPANY,Udayapur,Private,2062,
SAGARMATHA SECONDARY ENGLISH BOARDING SCHOOL,Udayapur,Private,2062,
KAKANI MODEL SCHOOL,Udayapur,Private,2062,
PARUHANG ACADEMY,Udayapur,Private,2062,
SHREE TRIYUGA ENGLISH MEDIUM SCHOOL CHUHADE,Udayapur,Private,2062,
PUMA SECONDARY ENGLISH BOARDING SCHOOL,Udayapur,Private,2062,
MOTHERLAND AAWASHIYA VIDHYALAYA PVT. LTD.,Udayapur,Private,2062,
NASCENT ENGLISH BOARDING SCHOOL,Udayapur,Private,2062,
SHINING FUTURE BOARDING SCHOOL,Udayapur,Private,2062,
Budur Lal Vidhya Niketan pvt.ltd.,Udayapur,Private,2063,
DONEX CABLE NETWORK PVT. LTD.,Udayapur,Private,2063,
HASINA TRADE CONCERN,Udayapur,Private,2063,
MOUNT CHURE ACADEMY,Udayapur,Private,2063,
TAWA SHREE BOARDING SCHOOL,Udayapur,Private,2063,
Nepaltar Public Academy,Udayapur,Private,2063,
DUDH KOSHI ENGLISH BOARDING SCHOOL PVT. LTD.,Udayapur,Private,2063,
RAUTAHA CONSTRUCTION,Udayapur,Private,2063,
ATTIC ENGLISH BOARDING SCHOOL,Udayapur,Private,2063,
CRIMSON ACADEMY,Udayapur,Private,2063,
SUPER SENSE ACADEMY,Udayapur,Private,2063,
CHANDI (SHREE) BRIGHT FUTURE BOARDING SCHOOL,Udayapur,Private,2063,
Buddha Niketan English Boarding School Udayapur,Udayapur,Private,2063,
New Era  Academy Gaighat,Udayapur,Private,2064,
SURYA NEPAL JIVAN  NIRMAN SEWA,Udayapur,Public,2064,
D.B.S. COMPANY,Udayapur,Private,2064,
TRIYUGA SUB MONEY TRANSFER,Udayapur,Private,2064,
Churiya Mai English Boarding School,Udayapur,Private,2064,
Pacific Shishu Batika English School,Udayapur,Private,2064,
Rautarani Baideshik Rojgar Talim Tatha Paramarsha Kendra,Udayapur,Private,2064,
Bright Future National English Boarding School,Udayapur,Private,2064,
Deurali English  Medium School,Udayapur,Private,2064,
Victory Public Academy,Udayapur,Private,2064,
Sudarshan English Boarding School,Udayapur,Private,2065,
Triyuga Training Solution,Udayapur,Private,2065,
Sukdev Memorial Academy,Udayapur,Private,2065,
People's Nursing Home,Udayapur,Private,2065,
Creative Vision Employment Consultancy,Udayapur,Private,2065,
Amurta Radio,Udayapur,Private,2065,
Udayapur Little Heaven English School,Udayapur,Private,2065,
Gauri Suryodaya English Boarding School,Udayapur,Private,2065,
Udayapur Gyanodaya Boarding School,Udayapur,Private,2065,
Rauta Rani English School,Udayapur,Private,2065,
Udayapur Medical Center,Udayapur,Private,2065,
Khadgakumari Multipurpose,Udayapur,Private,2065,
Suryodaya Hospital,Udayapur,Private,2065,
Ajay Community Dental Hospital,Udayapur,Private,2065,
Sagarmatha Gyan Punja Sadan,Udayapur,Private,2065,
Rampur Public Academy,Udayapur,Private,2065,
Udayapur Saugat Academy English Boarding School,Udayapur,Private,2065,
Blow Line Horizon English School,Udayapur,Private,2065,
Udayapur Little Flower English School,Udayapur,Private,2065,
Merigold Academy Beltar,Udayapur,Private,2065,
Newton Academy,Udayapur,Private,2065,
Riskoo Moonlight English School,Udayapur,Private,2065,
North Star English Boarding School Thocshila,Udayapur,Private,2065,
Mother Blessing English Boarding School,Udayapur,Private,2065,
Tri Shakti English School,Udayapur,Private,2066,
Hotel Kohabar and Resort,Udayapur,Private,2066,
Tapeshwari Marigold English School,Udayapur,Private,2066,
Ruparani Samudayik Swasthya Sewa Kendra,Udayapur,Non-Profit Distributing,2066,
Locus Designer & Planners,Udayapur,Private,2066,
U.K. F.M.,Udayapur,Private,2066,
Jasmine Nursing Home & Research Centre,Udayapur,Private,2066,
Debdhar Krishi Farm Tatha Paramarsha Kendra,Udayapur,Private,2066,
Bhimsen Saw-Mill and Furniture Udhyog,Udayapur,Private,2066,
Halesi Training Center,Udayapur,Private,2066,
Halesi Motors,Udayapur,Private,2066,
Holy Motherland English School,Udayapur,Private,2066,
Kalika Auto Link,Udayapur,Private,2066,
Agrima I.T. Solutions & Books Center,Udayapur,Private,2066,
Asari English Boarding School Udayapur,Udayapur,Private,2066,
People To People International Consultancy,Udayapur,Private,2066,
Triyuga Modern Housing Company,Udayapur,Private,2066,
Unique Sunflower English School,Udayapur,Private,2066,
Two Brothers Consultancy,Udayapur,Private,2066,
Semluma Consultancy,Udayapur,Private,2066,
Automotive Concern and Technology,Udayapur,Private,2066,
Triyuga Public English Boarding School Udayapur,Udayapur,Private,2066,
Little Star Academy Udayapur,Udayapur,Private,2066,
Sagarmatha Academy Udayapur,Udayapur,Private,2066,
Him Shikhar Samudayik English School,Udayapur,Private,2066,
Kids Foundation Udayapur,Udayapur,Private,2066,
Global Education Udayapur,Udayapur,Private,2066,
Unique Shishu Sadan,Udayapur,Private,2066,
Udayapur Manakamana English Boarding School,Udayapur,Private,2066,
Maharautarani Public English School,Udayapur,Private,2066,
Acme Academy Udayapur,Udayapur,Private,2066,
Amurta Travels and Tours,Udayapur,Private,2066,
Jyoti English Boarding School Udayapur,Udayapur,Private,2067,
Green Light English Boarding School Udayapur,Udayapur,Private,2067,
Jaya Shambhu Construction,Udayapur,Private,2067,
United Para-Medical College and Research Centre,Udayapur,Private,2067,
Rauta Rani Cable Network,Udayapur,Private,2067,
Udayapur Investment & Suppliers,Udayapur,Private,2067,
United Collection and Suppliers,Udayapur,Private,2067,
Agriculture Science and Development,Udayapur,Private,2067,
Rauta Spring Water,Udayapur,Private,2067,
Gaighat Computer Bazar,Udayapur,Private,2067,
Shisadhari English Boarding School,Udayapur,Private,2067,
Apex Academy English School Udayapur,Udayapur,Private,2067,
Udayapur Triyuga Hospital & Research Centre,Udayapur,Private,2067,
Rauta Modern English School,Udayapur,Private,2067,
Barsha Rani Academy,Udayapur,Private,2067,
Hotel Sun,Udayapur,Private,2067,
Lotus Gyanodaya Boarding School,Udayapur,Private,2067,
Gaighat Polyclinic & Diagnostic Center,Udayapur,Private,2067,
Glory English School Udayapur,Udayapur,Private,2067,
Tribeni Educational Academy,Udayapur,Private,2067,
Udayapur Housing Company,Udayapur,Private,2067,
Muna Madan English Boarding School,Udayapur,Private,2067,
Learner Academy Udayapur,Udayapur,Private,2067,
Bahuri Das Memorial School,Udayapur,Private,2067,
Little Flower Boarding School Udayapur pvt.ltd.,Udayapur,Private,2067,
Nation Education Academy Udayapur,Udayapur,Private,2067,
Goshan Point English Boarding School,Udayapur,Private,2067,
Belka Education Foundation,Udayapur,Private,2067,
Standard Vision International Academy,Udayapur,Private,2067,
Triyuga Health College and Teaching Hospital,Udayapur,Private,2067,
Oasis Classical English School,Udayapur,Private,2067,
K.V.W. Technical Institute,Udayapur,Private,2067,
Buddhilal Memorial English Boarding School,Udayapur,Private,2067,
Kamana English Boarding School Udayapur,Udayapur,Private,2067,
Parijat Academy Udayapur,Udayapur,Private,2067,
Rauta Agriculture Farm,Udayapur,Private,2067,
Triyuga Water Services,Udayapur,Private,2067,
Katari Model School,Udayapur,Private,2067,
Aastha Hospital Pvt. Ltd.,Udayapur,Private,2067,
Prakriti Shisusadan English Boarding School,Udayapur,Private,2067,
Susham Aditya Bijay Nirman Sewa,Udayapur,Private,2067,
Rauta Mountain View Resort,Udayapur,Private,2067,
Mahendra Jyoti English Boarding School,Udayapur,Private,2068,
Satyashwar Aspatal,Udayapur,Private,2068,
Singhwati Polyclinic & Diagnostic Centre,Udayapur,Private,2068,
Sustainable Agriculture Technology And Information For Nepal,Udayapur,Private,2068,
Triyuga Poultry Breeding,Udayapur,Private,2068,
Digitech Professional Academy,Udayapur,Private,2068,
P.N. Urja Bikash,Udayapur,Private,2068,
Wisdom Academy Beltar,Udayapur,Private,2068,
Siddhartha Vidhya Sadan Udayapur,Udayapur,Private,2068,
Bishwash Hospital,Udayapur,Private,2068,
Maning Star Acedamy,Udayapur,Private,2068,
Glowing Future Academy,Udayapur,Private,2068,
Shrijanshil Shiksha Sadan,Udayapur,Private,2068,
Tintale United  Educational Academy,Udayapur,Non-Profit Distributing,2068,
Gaighat Department Store,Udayapur,Private,2068,
Namuna Av-Tec,Udayapur,Private,2068,
St. Prabhas English School Udaypur,Udayapur,Private,2068,
P.N. Nepal Security Service,Udayapur,Private,2068,
Arshila Talim Tatha Prakashan,Udayapur,Private,2068,
To Light Academy Udayapur,Udayapur,Private,2068,
Priyanka Nursing Home,Udayapur,Private,2069,
Shree Future Stars English Boarding School Katari,Udayapur,Private,2069,
Roshani Solar,Udayapur,Private,2069,
Saptakoshi Poultry Farm,Udayapur,Private,2069,
Haleshi Traders Group,Udayapur,Private,2069,
Raghudev Educational Academy,Udayapur,Private,2069,
Him Shikhar Health & Science College,Udayapur,Private,2069,
Peace Zone College of Health Sciences,Udayapur,Private,2069,
Udayapur Triyuga Technical College,Udayapur,Private,2069,
Rautaha Technical College,Udayapur,Private,2069,
Triyuga National Education Academy,Udayapur,Private,2069,
Baruwa College of Nursing,Udayapur,Private,2069,
Triyuga Institute of Science & Technology,Udayapur,Private,2069,
Nitan Travels & Tours,Udayapur,Private,2069,
Udayapur Technical College,Udayapur,Private,2069,
Palpasa Technical College,Udayapur,Private,2069,
Triyuga Technical College,Udayapur,Private,2069,
Health & Medical Education College,Udayapur,Private,2069,
Triyuga Baideshik Rojgar Talim Tatha Paramarsha Kendra,Udayapur,Private,2069,
Friends Medical Institute,Udayapur,Private,2069,
Ram Health Science College,Udayapur,Private,2069,
Gurans Remitance,Udayapur,Private,2069,
Maa Kali Mata Nursing & Technical College,Udayapur,Private,2069,
Gaighat Technical College,Udayapur,Private,2069,
Bhandari and Brothers Krishi Firm,Udayapur,Private,2069,
Aananda Construction,Udayapur,Private,2069,
Rauta Shopping Center,Udayapur,Private,2069,
Rupajyoti Boarding School,Udayapur,Private,2069,
Gaunle Sajha Ag.,Udayapur,Private,2069,
Syman Media Group,Udayapur,Private,2069,
Shishu Biddhapith English School,Udayapur,Private,2069,
Himshikhar Hospital,Udayapur,Private,2069,
Crimsan Cable Network,Udayapur,Private,2069,
Namobuddha Construction,Udayapur,Private,2069,
Mountain Everest Construction,Udayapur,Private,2069,
Global Department Store,Udayapur,Private,2069,
Udayapur Smart Group Media,Udayapur,Private,2069,
Halesi Darshan Travels and Tours,Udayapur,Private,2069,
Jenisha Polyclinic,Udayapur,Private,2070,
