ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE
ANARWATI HOSPITAL,Dhanusha,Private,2068
Eye Line Information Technology,Lalitpur,Private,2068
Maitri Multi Farming,Lalitpur,Private,2068
"SHREE TIMBU TIJOR RODA, DUNGA, AND BLOCK UDDHYOG",Panchthar,Private,2068
Gigapac Technologies,Kathmandu,Private,2068
JEEVANTA TRADE LINKS,Chitwan,Private,2068
Himalayan Asia Scientific Concern,Kathmandu,Private,2068
FANTASTIC NEPAL HOLIDAYS,Lalitpur,Private,2068
AIR TOUCH TRAVELS AND TOURS,Kathmandu,Private,2068
SKY PARK TRAVEL AND TOURS,Kathmandu,Private,2068
HOTEL SAUGAT,Kathmandu,Private,2068
SHIVAJYOTISH ANUSANDHAN KENDRA,Morang,Private,2068
Gmat Felt & Craft,Kathmandu,Private,2068
Iris Educational Consultancy,Lalitpur,Private,2068
Ever Star Motors,Kathmandu,Private,2068
MONALISA MASSAGE & BEAUTY PARLOUR,Kathmandu,Private,2068
INSIGNIA INVESTMENT COMPANY,Kathmandu,Private,2068
International Specious Housing,Kathmandu,Private,2068
MARINOS TRAVEL AND TOURS,Kathmandu,Private,2068
Chomolangma Industries,Kathmandu,Private,2068
Synergy Nepal Construction,Lalitpur,Private,2068
B.B.N. Travel & Cruise,Kathmandu,Private,2068
Zambala Construction,Kathmandu,Private,2068
E-Mega Tech Solution.  Inc.,Lalitpur,Private,2068
Prabidhi,Kathmandu,Private,2068
LANCO INFRATECH NEPAL,Kathmandu,Private,2068
BLUEBIRD MART,Kathmandu,Private,2068
Link Youth Media,Kathmandu,Private,2068
NepaByte,Kathmandu,Private,2068
PLUS DOT NP,Bhaktapur,Private,2068
M.K. Media,Kathmandu,Private,2068
S.T.G. International Company,Kathmandu,Private,2068
Array International,Kathmandu,Private,2068
Engineering Design And Development Services,Kathmandu,Private,2068
BARDALE CABLE NETWORK,Palpa,Private,2068
Siddhartha Creation,Kathmandu,Private,2068
PAINT BALL INTERNTIONAL,Kathmandu,Private,2068
Universal College of Management,Kathmandu,Private,2068
SINGH DEVI NIRMAN SEWA,Kailali,Private,2068
Lord Buddha Suppliers & Services,Kathmandu,Private,2068
Topper's Academy  Foundation,Kathmandu,Private,2068
KRISHI SUCHANA TATHA SANCHAR PRABIDHI PRAKASHAN,Kathmandu,Private,2068
AYUSHMA TRAINING CENTER,Kaski,Private,2068
Biz Travels Management Incorporated,Kathmandu,Private,2068
DEUDHUNGA HYDROPOWER,Kathmandu,Private,2068
Paschimanchal Agro Farm,Chitwan,Private,2068
Mountain Farming,Kathmandu,Private,2068
Out Look I.T. Link,Banke,Private,2068
RADHA KRISHNA MODERN SCHOOL,Rupandehi,Private,2068
BLUE BERRY MONTESSORI ACADEMY,Kathmandu,Private,2068
Ambience International School Janakpur,Dhanusha,Private,2068
R.B.Builders,Lalitpur,Private,2068
Nepal Himalayan Heritage Tourism,Kathmandu,Private,2068
Swargadwari Drinking Water,Dang,Private,2068
Ma Durga Concrete Udhyog,Jhapa,Private,2068
B.N.B. Trade Link and Consult,Lalitpur,Private,2068
Creative Mid Point,Chitwan,Private,2068
Rara Prabidik Shikshalaya Bardibas Mahotari,Mahottari,Private,2068
Marcopolo Medical Center,Kathmandu,Private,2068
Classic German Bakery Cafe & Restaurant,Kathmandu,Private,2068
Sun Star Cable Network,Kathmandu,Private,2068
Supreme Employment Concern,Kathmandu,Private,2068
Kushal Agriculture Research and Development Centre,Kathmandu,Private,2068
Career Point,Lalitpur,Private,2068
Sunbi Technologies,Kathmandu,Private,2068
Pokhara Seed Company,Kaski,Private,2068
Holidays Everest View Travel And Tours,Kathmandu,Private,2068
Metrovest Investment,District not known,Private,2068
Green World Business,Kathmandu,Private,2068
Dhading Vidhyut Bikash Company,Dhading,Public,2068
Dhruba Tara Steel Tatha Kasthakala Furniture Udhyog,Kailali,Private,2068
Everest Suppliers,Lalitpur,Private,2068
Karnali Prabhat Bikas Academy,Kalikot,Private,2068
S.S. Nepal Education Consultancy,Kathmandu,Private,2068
Himshikhar Rugs & Craft,Lalitpur,Private,2068
Om Sai Ram Carpet Industires,Kathmandu,Private,2068
Arman Construction and Suppliers,Kathmandu,Private,2068
Innovative Entertainment,Kathmandu,Private,2068
Sagar Diagnostic and Research Center,Banke,Private,2068
Multipurpose Engineering Group of Company,Bhaktapur,Private,2068
P.E.T. Product & Closures Manufacture Association,Kathmandu,Non-Profit Distributing,2068
Civil Plastic Industries,Banke,Private,2068
Deep Electronics,Kaski,Private,2068
Hotel Good Home,Kathmandu,Private,2068
Race Educare,Kathmandu,Private,2068
Sporting Life,Kathmandu,Private,2068
Chhantyal Livestocks & Feeds,Kathmandu,Private,2068
Maula Care Center,Chitwan,Private,2068
Elegant Educational Institute,Kathmandu,Private,2068
Padma-Dal Book & Stationery,Kathmandu,Private,2068
Sub Way Thamel,Kathmandu,Private,2068
Nepal Sunrise Hospitality,Kathmandu,Private,2068
S R S International,Kathmandu,Private,2068
R.S. Polyclinic,Dhading,Private,2068
Swarnim Enterprises,Kathmandu,Private,2068
Manakaman Dry Cleaners,Kathmandu,Private,2068
Busisoft Solutions,Kathmandu,Private,2068
Galaxy Soap & Chemicals,Banke,Private,2068
Kabita Perfumery Udhyog,Kathmandu,Private,2068
New Sunshine English Academy Diman Saptari,Saptari,Private,2068
The Art Glow Sign,Kathmandu,Private,2068
Bright Broadcasting,Kathmandu,Private,2068
Rafting Star,Kathmandu,Private,2068
Viator Nepal,Kathmandu,Private,2068
Prashant English Medium Boarding School Surkhet,Surkhet,Private,2068
Thapa Nirman Sewa,Ramechhap,Private,2068
Himalayan Organic Tulsi,Kathmandu,Private,2068
Bittiya Karobar Paramarsha Kendra,Kathmandu,Private,2068
Nilgiri Multi Agro Research & Development Centre,Chitwan,Private,2068
Ojasvi Services,Kathmandu,Private,2068
Ashlesha Enterprises,Kathmandu,Private,2068
Sixth Sense Investment Company,Kathmandu,Private,2068
Ritika Craft,Kathmandu,Private,2068
eGates Computer Market,Kathmandu,Private,2068
Kamal Kunj English School,Okhaldhunga,Private,2068
Far Movies,Kathmandu,Private,2068
Koshi Sarbajanik Yatayat,Sunsari,Private,2068
Koshi Engineering Workshop,Sunsari,Private,2068
Genius Generation Academy Doti,Doti,Private,2068
Remix International Marriage Bureau,Kathmandu,Private,2068
Seti Maa Suppliers,Kathmandu,Private,2068
AArati Housing,Kathmandu,Private,2068
Udaya Cable Network,Syangja,Private,2068
S.B.R. Carpet Washing,Kathmandu,Private,2068
Two Yugal Service,Kathmandu,Private,2068
Import U.S.A.,Kathmandu,Private,2068
Idea Dot Com,Kailali,Private,2068
Om Radha Krishna Trading Concern,Kathmandu,Private,2068
H.B.Dynamic Health Institute,Dang,Private,2068
O To E Level Training & Production Home,Kathmandu,Private,2068
