ENGLISH_NAME,DISTRICT,COMPANY_TYPE,REGISTRATION_DATE
RAGHUPATI JUTE MILLS,Sankhuwasabha,Private,2003
MORANG SUGAR MILLS,Morang,Public,2003
NEW EVEREST CONSULTENCY,Lalitpur,Private,2004
HIRA LAXMI TRADERS,Kanchanpur,Private,2007
HIMALAYAN WOOLEN MILLS,Lalitpur,Private,2007
LAXMI TREKKING COMPANY,Sankhuwasabha,Private,2007
HULAS RICE MILLS,Sankhuwasabha,Private,2007
RAM TEA TEND AGRICULTURE,Ramechhap,Private,2007
NEPAL HOLIDAYS JUNCTION,Kathmandu,Private,2008
NEPAL COMMERCIAL CORPORATION,Lalitpur,Private,2008
JOR GANESH PRESS,Lalitpur,Private,2008
ASHOK HALL,Kathmandu,Private,2009
NEPAL TRADERS LTD.,Lalitpur,Private,2009
JYOTI DYING AND PRINTING FACTORY,Terhathum,Private,2009
KRISHI UDYOG BIKAS COMPANI,Ramechhap,Private,2009
GOLCHHA RICE OIL AND FLOUR MILLS,Sankhuwasabha,Private,2009
HIMALAYA RICE OIL AND FLOUR MILLS,Siraha,Private,2009
DURGA RICE OIL AND FLOUR MILLS,Gorkha,Private,2009
NEPAL TRADING CO.,Lalitpur,Private,2009
MAHABIR INDUSTRY,Siraha,Private,2009
HIMALAYA COMMERCIAL CO.,Lalitpur,Private,2009
SHREE TREKKING,Lalitpur,Private,2009
LALITA RICE OIL DAAL&FLOUR MILL,Sankhuwasabha,Private,2009
PRITHVI RICE OIL & FLOUR MILLS,Syangja,Private,2009
BASANTPUR CINEMA,Kathmandu,Public,2009
Shree Trading,Kathmandu,Public,2009
YATI BYABASTHAPAK MANDAL,Lalitpur,Private,2010
RADHESHYAM RICE OIL &FLOUR MILLS,Sindhuli,Private,2010
BHAJURATNA INVESTMENT,Kathmandu,Public,2010
Jerky-Meat Parlour,Kathmandu,Private,2011
Strawberry Restaurant & Bar,Kathmandu,Private,2011
Talktime Trading,Kathmandu,Private,2011
HIMALAYAN INSURANCE,Makwanpur,Private,2012
TANKESWAR GARMENT,Kathmandu,Private,2012
NEPAL AGENCY LIMITED,Lalitpur,Private,2012
NEPAL IRON & STEEL CORPORATION,Bara,Private,2012
RAM MILLS,Makwanpur,Private,2012
NEPAL DAIRY LTD.,Lalitpur,Private,2012
Shree Narayan Prashad Rice & Oil Mills,Kathmandu,Private,2013
PURBI NEPAL AGRICULTURAL FIRM,Jhapa,Private,2013
HRIDAYA MAHAT KRISHI,Jhapa,Private,2013
SHARE BONE MILL,Kathmandu,Private,2014
ACHYUT RICE OIL MILLS,Morang,Private,2014
JALJALA SISHU SADAN,Sankhuwasabha,Private,2014
Shree Jaljala Cinema,Morang,Private,2014
Nurdun Industrial Carporetion,District not known,Private,2015
NEPAL CONSTRUCTION AND ENGNEERING CORPORESAN,Lalitpur,Private,2015
E. M. C.,Kathmandu,Private,2015
